iter	RMSE
213	3373.454357
214	3357.714183
215	3343.84514
216	3331.320246
217	3318.777806
218	3308.28515
219	3295.296691
220	3289.599142
221	3281.786687
222	3262.911963
223	3250.216994
224	3232.11976
225	3225.168139
226	3217.341976
227	3206.163469
228	3194.775238
229	3184.769468
230	3178.879148
231	3163.399632
232	3150.701519
233	3138.740766
234	3133.152426
235	3120.285597
236	3101.836903
237	3090.032567
238	3079.619428
239	3063.675672
240	3054.010067
241	3037.362032
242	3024.038562
243	3015.036653
244	3006.316296
245	2997.080083
246	2985.582555
247	2964.143625
248	2953.239563
249	2942.794347
250	2932.639653
251	2921.051426
252	2909.79859
253	2902.134601
254	2890.93638
255	2881.315141
256	2862.24842
257	2852.528263
258	2846.725643
259	2836.124948
260	2829.664023
261	2825.265066
262	2808.366626
263	2797.971261
264	2789.797942
265	2783.778346
266	2772.953014
267	2762.319444
268	2745.045887
269	2739.334832
270	2729.062814
271	2720.19067
272	2707.538547
273	2691.283667
274	2675.677895
275	2667.698883
276	2661.387925
277	2651.588019
278	2646.473074
279	2633.875046
280	2623.086272
281	2614.243741
282	2605.662067
283	2592.723417
284	2583.621798
285	2570.258217
286	2564.299556
287	2555.489808
288	2541.682885
289	2532.714895
290	2524.290178
291	2515.900846
292	2509.588546
293	2504.236307
294	2498.469924
295	2487.15083
296	2482.286278
297	2473.320516
298	2462.662735
299	2454.498426
300	2444.1552
301	2433.442176
302	2426.113102
303	2420.232627
304	2415.78211
305	2408.236751
306	2403.944669
307	2394.171367
308	2390.136503
309	2379.289044
310	2375.203227
311	2365.615804
312	2359.463834
313	2349.904946
314	2340.430939
315	2336.518263
316	2333.008531
317	2329.244871
318	2325.088415
319	2319.906492
320	2310.562317
321	2302.273821
322	2293.117885
323	2282.708764
324	2277.893556
325	2274.515853
326	2267.482336
327	2264.168582
328	2254.14552
329	2247.580167
330	2244.371885
331	2239.921384
332	2236.843197
333	2225.199704
334	2215.663607
335	2204.006284
336	2200.94043
337	2196.890797
338	2190.152767
339	2183.220991
340	2174.300069
341	2171.337221
342	2168.39763
343	2165.341343
344	2162.350026
345	2150.774039
346	2141.085553
347	2131.698718
348	2128.776557
349	2126.033608
350	2114.399225
351	2105.043649
352	2102.360733
353	2097.526833
354	2091.206822
355	2080.093842
356	2076.992879
357	2068.2188
358	2060.1762
359	2057.178614
360	2047.207768
361	2044.323969
362	2040.987558
363	2037.790979
364	2035.050687
365	2032.55768
366	2030.727729
367	2025.654931
368	2024.340214
369	2022.802011
370	2015.230008
371	2013.951694
372	2011.669398
373	2003.169866
374	1995.609952
375	1986.382138
376	1983.918919
377	1974.962035
378	1973.458445
379	1970.343551
380	1968.786827
381	1961.34493
382	1959.029655
383	1954.338267
384	1950.256716
385	1943.433206
386	1936.185557
387	1934.411695
388	1926.690726
389	1924.599832
390	1921.533156
391	1920.586887
392	1917.636451
393	1915.290308
394	1912.57463
395	1908.300941
396	1906.193462
397	1903.457212
398	1902.627542
399	1896.49672
400	1893.606028
401	1890.263554
402	1883.516901
403	1878.446354
404	1872.005104
405	1869.683041
406	1868.377577
407	1866.320532
408	1858.530115
409	1851.169038
410	1849.441795
411	1844.289332
412	1838.153534
413	1834.18617
414	1827.413884
415	1821.98183
416	1819.407649
417	1816.229909
418	1814.98826
419	1807.951083
420	1805.017211
421	1798.816946
422	1793.721985
423	1790.703777
424	1781.754478
425	1780.763964
426	1777.941084
427	1777.167741
428	1773.28474
429	1769.179837
430	1762.650368
431	1757.345073
432	1752.61286
433	1747.704088
434	1746.960731
435	1740.898163
436	1734.965777
437	1727.76087
438	1725.092495
439	1722.156213
440	1719.750392
441	1718.086149
442	1712.866698
443	1706.432457
444	1703.604526
445	1697.552991
446	1692.9156
447	1687.960659
448	1682.424337
449	1679.003709
450	1676.375753
451	1670.454487
452	1665.67936
453	1664.137134
454	1660.584975
455	1656.24424
456	1651.040875
457	1649.646155
458	1646.168188
459	1639.453625
460	1633.880989
461	1631.393301
462	1625.724578
463	1623.193832
464	1620.426278
465	1614.649394
466	1614.079548
467	1611.354381
468	1606.061466
469	1602.513252
470	1598.440572
471	1593.851685
472	1591.534113
473	1588.940067
474	1586.711448
475	1580.133006
476	1578.425035
477	1576.366412
478	1568.267266
479	1563.728683
480	1557.389284
481	1552.041768
482	1547.902296
483	1545.553432
484	1544.947535
485	1544.47052
486	1538.652959
487	1533.010189
488	1532.606188
489	1530.936979
490	1529.493079
491	1524.683764
492	1522.846511
493	1521.305027
494	1520.719101
495	1519.239679
496	1513.734127
497	1513.181295
498	1511.924263
499	1504.911104
500	1501.87956
501	1498.404241
502	1497.503509
503	1496.147094
504	1495.574835
505	1495.147888
506	1494.699272
507	1491.925973
508	1490.284396
509	1488.14654
510	1483.786687
511	1481.648368
512	1480.816339
513	1479.575499
514	1479.273348
515	1472.824079
516	1468.635866
517	1465.146561
518	1463.028386
519	1458.98673
520	1456.942703
521	1454.494894
522	1450.593077
523	1447.147094
524	1443.416176
525	1442.890355
526	1441.984842
527	1438.676593
528	1436.728116
529	1433.02182
530	1432.066186
531	1431.245968
532	1428.557483
533	1423.348138
534	1420.23536
535	1417.95657
536	1411.279304
537	1406.02947
538	1405.55804
539	1405.141578
540	1401.327773
541	1399.278362
542	1395.163638
543	1394.364933
544	1390.537851
545	1381.594559
546	1380.999686
547	1379.874216
548	1371.266857
549	1370.869867
550	1370.417514
551	1369.910752
552	1365.837169
553	1365.482125
554	1361.773442
555	1354.607394
556	1350.213736
557	1348.12186
558	1344.647796
559	1342.110413
560	1340.41032
561	1338.022843
562	1333.34967
563	1329.844717
564	1329.483688
565	1328.370918
566	1325.003352
567	1321.475064
568	1319.488012
569	1317.561273
570	1315.450362
571	1312.079667
572	1308.527629
573	1306.609305
574	1306.176249
575	1305.295711
576	1304.517497
577	1304.00197
578	1303.190269
579	1302.897031
580	1299.521174
581	1298.291842
582	1296.424777
583	1294.393639
584	1293.924294
585	1290.77294
586	1289.796302
587	1287.780062
588	1285.836337
589	1284.428045
590	1283.626129
591	1280.461001
592	1279.996287
593	1276.05972
594	1275.459304
595	1273.734367
596	1271.428511
597	1268.842426
598	1266.638436
599	1265.15738
600	1261.72073
601	1260.534404
602	1260.00176
603	1258.722801
604	1256.089904
605	1255.283593
606	1251.597042
607	1251.453769
608	1251.014431
609	1250.87893
610	1250.608944
611	1244.611415
612	1243.119365
613	1239.669281
614	1235.195921
615	1232.108197
616	1230.501347
617	1227.141453
618	1224.953987
619	1222.012002
620	1220.623012
621	1218.07077
622	1217.672032
623	1217.394044
624	1215.314432
625	1212.116302
626	1211.747362
627	1210.197796
628	1210.054957
629	1208.587457
630	1208.317066
631	1206.443423
632	1204.555934
633	1202.088691
634	1200.642753
635	1199.232146
636	1197.628583
637	1196.401761
638	1193.897856
639	1190.362584
640	1186.895318
641	1185.212828
642	1183.393042
643	1182.137851
644	1180.1555
645	1178.45115
646	1178.151777
647	1177.183193
648	1176.892946
649	1175.24196
650	1173.485369
651	1171.776606
652	1171.49747
653	1169.249337
654	1166.777481
655	1166.508162
656	1165.901312
657	1164.308751
658	1157.581256
659	1156.574559
660	1152.422082
661	1148.403147
662	1146.626907
663	1145.569741
664	1144.298158
665	1143.589692
666	1142.825705
667	1140.938364
668	1139.616182
669	1138.360931
670	1136.268853
671	1133.598488
672	1132.502811
673	1131.822937
674	1130.538768
675	1128.046491
676	1127.251222
677	1125.803792
678	1124.108686
679	1124.030219
680	1121.906738
681	1121.142731
682	1116.610298
683	1116.048983
684	1114.378533
685	1112.027045
686	1109.704528
687	1108.166172
688	1107.811594
689	1107.189097
690	1104.988267
691	1104.153437
692	1101.643258
693	1099.227441
694	1097.786683
695	1096.973015
696	1095.160107
697	1094.402617
698	1093.834651
699	1090.26706
700	1087.851138
701	1087.312839
702	1084.37815
703	1081.702631
704	1080.834736
705	1080.329683
706	1077.570554
707	1077.221448
708	1075.39864
709	1074.199589
710	1073.808211
711	1072.222223
712	1070.790853
713	1069.451009
714	1067.645189
715	1066.350289
716	1065.362319
717	1064.458232
718	1063.093995
719	1062.324051
720	1061.606332
721	1059.148662
722	1057.04892
723	1055.475952
724	1054.583319
725	1054.33211
726	1053.489981
727	1052.586283
728	1051.259745
729	1049.96883
730	1049.146545
731	1047.89253
732	1046.680555
733	1045.054254
734	1042.581384
735	1041.786431
736	1040.592816
737	1039.382288
738	1038.123043
739	1037.321081
740	1035.883095
741	1033.462525
742	1030.852999
743	1026.850396
744	1024.543235
745	1023.130939
746	1022.883022
747	1021.875536
748	1019.277875
749	1016.122011
750	1015.626241
751	1014.767612
752	1012.262399
753	1011.424493
754	1008.840383
755	1008.069815
756	1007.826274
757	1003.313943
758	1001.340472
759	999.6676118
760	999.0507297
761	998.092967
762	997.3809139
763	996.2582258
764	995.6672684
765	995.0803294
766	994.8386722
767	992.4468431
768	989.3747066
769	986.9428922
770	986.6331256
771	986.107654
772	984.1456463
773	979.6560103
774	976.7553642
775	974.2803279
776	973.9816881
777	972.888818
778	969.9690817
779	968.0268443
780	967.8056253
781	965.7769542
782	963.0746752
783	961.6142378
784	961.0549634
785	958.3296473
786	957.8366575
787	956.3156673
788	953.8457164
789	951.1072641
790	949.2263762
791	946.9561101
792	946.3849793
793	943.5598751
794	942.8107374
795	941.652052
796	939.5899823
797	938.4307305
798	937.0513916
799	936.7676471
800	935.7291101
801	934.0004264
802	931.8194153
803	929.582403
804	928.1338465
805	927.9131512
806	927.2694115
807	925.3005442
808	925.0306064
809	924.9151274
810	923.049399
811	921.9027782
812	921.7958243
813	921.1201914
814	919.1628889
815	919.0632326
816	917.2652719
817	915.6779115
818	915.4789744
819	913.4782964
820	913.0635207
821	911.6884261
822	911.568585
823	909.7400384
824	908.2936459
825	906.2263682
826	904.0344044
827	903.8986795
828	901.8980308
829	900.0631355
830	899.9007937
831	897.5997561
832	896.1975292
833	894.3034247
834	893.8062489
835	891.9414809
836	890.7967482
837	890.3363918
838	890.0873703
839	888.1059994
840	886.4044117
841	884.3739495
842	883.2844935
843	881.9152587
844	880.4183944
845	879.6721732
846	877.6442244
847	875.8360208
848	873.8157083
849	872.4264097
850	871.0840881
851	870.2089123
852	869.5296484
853	868.5062043
854	867.6161637
855	866.7632288
856	865.2127206
857	863.804416
858	862.8025166
859	861.0960974
860	860.0553648
861	859.0968996
862	858.0216455
863	857.5355933
864	856.2576324
865	854.0285725
866	853.0985199
867	852.4651367
868	850.3970401
869	849.4567498
870	848.5751969
871	847.4489824
872	847.2125655
873	846.8142593
874	845.7972128
875	844.8492752
876	843.3332554
877	842.3254925
878	842.1462351
879	839.741199
880	838.7766247
881	838.1167208
882	837.3248239
883	836.7807064
884	835.86548
885	834.9215286
886	833.0926556
887	831.6289833
888	830.5993691
889	830.5195897
890	830.0402136
891	829.5381357
892	828.9272027
893	828.4841156
894	827.722873
895	827.6114306
896	826.8369665
897	826.7079111
898	825.6017499
899	824.0645313
900	822.4970233
901	821.8984706
902	821.3812812
903	820.5664974
904	819.7862729
905	819.6605755
906	819.3034617
907	818.2034305
908	816.6740437
909	815.1726195
910	814.0235818
911	813.0149612
912	811.5299922
913	811.05232
914	808.6665935
915	807.9597968
916	807.0023563
917	806.3303447
918	805.6098976
919	804.8349109
920	801.5372374
921	800.8785627
922	799.9973079
923	798.1792854
924	798.0396664
925	796.5083187
926	794.9589099
927	794.3864756
928	793.8327987
929	791.1452244
930	790.5289524
931	790.3213055
932	789.4786205
933	786.1379718
934	784.9599518
935	784.1277588
936	783.369893
937	782.1057785
938	781.0784482
939	780.394775
940	779.356158
941	778.4187583
942	776.9688434
943	775.2315063
944	773.8631038
945	773.1352767
946	772.1079743
947	770.1278943
948	768.4094348
949	766.3636274
950	765.7676142
951	764.6461436
952	764.0596307
953	762.2254116
954	761.3992345
955	760.5756446
956	760.1806148
957	758.8447175
958	757.4447787
959	756.6084304
960	755.2887423
961	755.1749605
962	754.9353217
963	754.3664771
964	754.1017392
965	754.0194791
966	752.6686009
967	751.0507926
968	750.9338909
969	750.5868378
970	749.9640879
971	748.5288193
972	748.2800088
973	747.2678271
974	746.052757
975	745.2788846
976	744.9808349
977	744.7334205
978	742.4668848
979	741.5986232
980	739.16952
981	738.8762843
982	737.6118659
983	736.8250297
984	735.6542834
985	734.7528147
986	733.277116
987	732.718194
988	732.1691024
989	729.3901976
990	728.5772522
991	728.228824
992	728.1067699
993	726.2422609
994	726.1322274
995	725.9923064
996	725.5485479
997	725.3283714
998	724.4701709
999	723.0079164
